Fecha;cod_ine;CCAA;Casos;PCR+;TestAc+;Hospitalizados;UCI;Fallecidos;Recuperados
20/02/2020;1;Andalucia;;;;;;;
20/02/2020;2;Aragon;;;;;;;
20/02/2020;3;Asturias;;;;;;;
20/02/2020;4;Baleares;1;;;;;;
20/02/2020;5;Canarias;1;;;;;;
20/02/2020;6;Cantabria;;;;;;;
20/02/2020;8;Castilla La Mancha;;;;;;;
20/02/2020;7;Castilla y Leon;0;;;;;;
20/02/2020;9;Cataluna;0;;;;;;
20/02/2020;18;Ceuta;;;;;;;
20/02/2020;10;C. Valenciana;;;;26;0;;
20/02/2020;11;Extremadura;;;;;;;
20/02/2020;12;Galicia;;;;;;;
20/02/2020;13;Madrid;;0;;;;;
20/02/2020;19;Melilla;;;;;;;
20/02/2020;14;Murcia;;;;;;;
20/02/2020;15;Navarra;;;;;;;
20/02/2020;16;Pais Vasco;;;;;;;
20/02/2020;17;La Rioja;;;;;;;
21/02/2020;1;Andalucia;;;;;;;
21/02/2020;2;Aragon;;;;;;;
21/02/2020;3;Asturias;;;;;;;
21/02/2020;4;Baleares;1;;;;;;
21/02/2020;5;Canarias;1;;;;;;
21/02/2020;6;Cantabria;;;;;;;
21/02/2020;8;Castilla La Mancha;;;;;;;
21/02/2020;7;Castilla y Leon;0;;;;;;
21/02/2020;9;Cataluna;0;;;;;;
21/02/2020;18;Ceuta;;;;;;;
21/02/2020;10;C. Valenciana;;;;30;1;;
21/02/2020;11;Extremadura;;;;;;;
21/02/2020;12;Galicia;;;;;;;
21/02/2020;13;Madrid;;0;;;;;
21/02/2020;19;Melilla;;;;;;;
21/02/2020;14;Murcia;;;;;;;
21/02/2020;15;Navarra;;;;;;;
21/02/2020;16;Pais Vasco;;;;;;;
21/02/2020;17;La Rioja;;;;;;;
22/02/2020;1;Andalucia;;;;;;;
22/02/2020;2;Aragon;;;;;;;
22/02/2020;3;Asturias;;;;;;;
22/02/2020;4;Baleares;1;;;;;;
22/02/2020;5;Canarias;1;;;;;;
22/02/2020;6;Cantabria;;;;;;;
22/02/2020;8;Castilla La Mancha;;;;;;;
22/02/2020;7;Castilla y Leon;0;;;;;;
22/02/2020;9;Cataluna;0;;;;;;
22/02/2020;18;Ceuta;;;;;;;
22/02/2020;10;C. Valenciana;;;;33;1;;
22/02/2020;11;Extremadura;;;;;;;
22/02/2020;12;Galicia;;;;;;;
22/02/2020;13;Madrid;;0;;;;;
22/02/2020;19;Melilla;;;;;;;
22/02/2020;14;Murcia;;;;;;;
22/02/2020;15;Navarra;;;;;;;
22/02/2020;16;Pais Vasco;;;;;;;
22/02/2020;17;La Rioja;;;;;;;
23/02/2020;1;Andalucia;;;;;;;
23/02/2020;2;Aragon;;;;;;;
23/02/2020;3;Asturias;;;;;;;
23/02/2020;4;Baleares;1;;;;;;
23/02/2020;5;Canarias;1;;;;;;
23/02/2020;6;Cantabria;;;;;;;
23/02/2020;8;Castilla La Mancha;;;;;;;
23/02/2020;7;Castilla y Leon;0;;;;;;
23/02/2020;9;Cataluna;0;;;;;;
23/02/2020;18;Ceuta;;;;;;;
23/02/2020;10;C. Valenciana;;;;38;2;;
23/02/2020;11;Extremadura;;;;;;;
23/02/2020;12;Galicia;;;;;;;
23/02/2020;13;Madrid;;0;;;;;
23/02/2020;19;Melilla;;;;;;;
23/02/2020;14;Murcia;;;;;;;
23/02/2020;15;Navarra;;;;;;;
23/02/2020;16;Pais Vasco;;;;;;;
23/02/2020;17;La Rioja;;;;;;;
24/02/2020;1;Andalucia;;;;;;;
24/02/2020;2;Aragon;;;;;;;
24/02/2020;3;Asturias;;;;;;;
24/02/2020;4;Baleares;1;;;;;;
24/02/2020;5;Canarias;2;;;;;;
24/02/2020;6;Cantabria;;;;;;;
24/02/2020;8;Castilla La Mancha;;;;;;;
24/02/2020;7;Castilla y Leon;0;;;;;;
24/02/2020;9;Cataluna;0;;;;;;
24/02/2020;18;Ceuta;;;;;;;
24/02/2020;10;C. Valenciana;;;;49;2;;
24/02/2020;11;Extremadura;;;;;;;
24/02/2020;12;Galicia;;;;;;;
24/02/2020;13;Madrid;;0;;;;;
24/02/2020;19;Melilla;;;;;;;
24/02/2020;14;Murcia;;;;;;;
24/02/2020;15;Navarra;;;;;;;
24/02/2020;16;Pais Vasco;;;;;;;
24/02/2020;17;La Rioja;;;;;;;
25/02/2020;1;Andalucia;;0;;;;;
25/02/2020;2;Aragon;;;;;;;
25/02/2020;3;Asturias;;;;;;;
25/02/2020;4;Baleares;1;;;;;;
25/02/2020;5;Canarias;5;;;;;;
25/02/2020;6;Cantabria;;;;;;;
25/02/2020;8;Castilla La Mancha;;;;;;;
25/02/2020;7;Castilla y Leon;0;;;;;;
25/02/2020;9;Cataluna;1;;;;;;
25/02/2020;18;Ceuta;;;;;;;
25/02/2020;10;C. Valenciana;1;;;58;2;;
25/02/2020;11;Extremadura;;;;;;;
25/02/2020;12;Galicia;;;;;;;
25/02/2020;13;Madrid;;1;;;;;
25/02/2020;19;Melilla;;;;;;;
25/02/2020;14;Murcia;;;;;;;
25/02/2020;15;Navarra;;;;;;;
25/02/2020;16;Pais Vasco;;;;;;;
25/02/2020;17;La Rioja;;;;;;;
26/02/2020;1;Andalucia;;1;;;;;
26/02/2020;2;Aragon;;;;;;;
26/02/2020;3;Asturias;;;;;;;
26/02/2020;4;Baleares;1;;;;;;
26/02/2020;5;Canarias;6;;;;;;
26/02/2020;6;Cantabria;;;;;;;
26/02/2020;8;Castilla La Mancha;;;;;;;
26/02/2020;7;Castilla y Leon;0;;;;;;
26/02/2020;9;Cataluna;2;;;;;;
26/02/2020;18;Ceuta;;;;;;;
26/02/2020;10;C. Valenciana;2;;;63;3;;
26/02/2020;11;Extremadura;;;;;;;
26/02/2020;12;Galicia;;;;;;;
26/02/2020;13;Madrid;;5;;;;;
26/02/2020;19;Melilla;;;;;;;
26/02/2020;14;Murcia;;;;;;;
26/02/2020;15;Navarra;;;;;;;
26/02/2020;16;Pais Vasco;;;;;;;
26/02/2020;17;La Rioja;;;;;;;
27/02/2020;1;Andalucia;;6;;;;;
27/02/2020;2;Aragon;;;;;;;
27/02/2020;3;Asturias;;;;;;;
27/02/2020;4;Baleares;1;;;;;;
27/02/2020;5;Canarias;6;;;;;;
27/02/2020;6;Cantabria;;;;;;;
27/02/2020;8;Castilla La Mancha;;;;;;;
27/02/2020;7;Castilla y Leon;0;;;;;;
27/02/2020;9;Cataluna;3;;;;;;
27/02/2020;18;Ceuta;;;;;;;
27/02/2020;10;C. Valenciana;8;;;73;3;;
27/02/2020;11;Extremadura;;;;;;;
27/02/2020;12;Galicia;;;;;;;
27/02/2020;13;Madrid;;9;;;;;
27/02/2020;19;Melilla;;;;;;;
27/02/2020;14;Murcia;;;;;;;
27/02/2020;15;Navarra;;;;;;;
27/02/2020;16;Pais Vasco;;;;;;;
27/02/2020;17;La Rioja;;;;;;;
28/02/2020;1;Andalucia;;8;;;;;
28/02/2020;2;Aragon;;;;;;;
28/02/2020;3;Asturias;;;;;;;
28/02/2020;4;Baleares;2;;;;;;
28/02/2020;5;Canarias;6;;;;;;
28/02/2020;6;Cantabria;;;;;;;
28/02/2020;8;Castilla La Mancha;;;;;;;
28/02/2020;7;Castilla y Leon;2;;;;;;
28/02/2020;9;Cataluna;5;;;;;;
28/02/2020;18;Ceuta;;;;;;;
28/02/2020;10;C. Valenciana;10;;;78;3;;
28/02/2020;11;Extremadura;;;;;;;
28/02/2020;12;Galicia;;;;;;;
28/02/2020;13;Madrid;;19;;;;;
28/02/2020;19;Melilla;;;;;;;
28/02/2020;14;Murcia;;;;;;;
28/02/2020;15;Navarra;;;;;;;
28/02/2020;16;Pais Vasco;2;;;;;;
28/02/2020;17;La Rioja;;;;;;;
29/02/2020;1;Andalucia;;12;;;;;
29/02/2020;2;Aragon;;;;;;;
29/02/2020;3;Asturias;1;;;;;;
29/02/2020;4;Baleares;2;;;;;;
29/02/2020;5;Canarias;7;;;;;;
29/02/2020;6;Cantabria;1;;;;;;
29/02/2020;8;Castilla La Mancha;1;;;;;;
29/02/2020;7;Castilla y Leon;2;;;;;;
29/02/2020;9;Cataluna;6;;;;;;
29/02/2020;18;Ceuta;;;;;;;
29/02/2020;10;C. Valenciana;15;;;85;3;;
29/02/2020;11;Extremadura;4;;;;;;
29/02/2020;12;Galicia;;;;;;;
29/02/2020;13;Madrid;;26;;;;;
29/02/2020;19;Melilla;;;;;;;
29/02/2020;14;Murcia;;;;;;;
29/02/2020;15;Navarra;1;;;;;;
29/02/2020;16;Pais Vasco;3;;;;;;
29/02/2020;17;La Rioja;;;;;;;
01/03/2020;1;Andalucia;;12;;;;;
01/03/2020;2;Aragon;;;;;;;
