FECHA;CONTAGIOS;MUERTOS;ALTAS;ALTAS_DATADISTA
12/02/2020;2;0;0;0
25/02/2020;3;0;0;0
26/02/2020;7;0;0;0
27/02/2020;16;0;0;0
28/02/2020;31;0;0;0
03/03/2020;114;0;0;0
04/03/2020;197;1;0;0
05/03/2020;237;3;0;0
06/03/2020;365;5;0;0
09/03/2020;1204;28;23;25
10/03/2020;1695;36;135;140
11/03/2020;2140;48;183;188
12/03/2020;2965;84;189;201
13/03/2020;4231;121;193;200
14/03/2020;5733;136;517;544
15/03/2020;7753;288;517;556
16/03/2020;9191;309;530;575
17/03/2020;11178;491;1028;1086
18/03/2020;13716;598;1081;1160
19/03/2020;17147;767;1107;1210
20/03/2020;19980;1002;1588;1542
21/03/2020;24926;1326;2125;2131
22/03/2020;28572;1720;2575;2672
23/03/2020;33089;2182;3355;3140
24/03/2020;39673;2696;3794;3697
25/03/2020;47610;3434;5367;5054
26/03/2020;56188;4089;7015;6326
27/03/2020;64059;4858;9357;8491
28/03/2020;72248;5690;12285;10896
29/03/2020;78797;6528;14709;13219
30/03/2020;85195;7340;16780;14823
31/03/2020;94417;8189;19259;16926
01/04/2020;102136;9053;22647;20023
02/04/2020;110238;10003;26743;23509
03/04/2020;117710;10935;30513;26540
04/04/2020;124736;11744;34219;30173
05/04/2020;130759;12418;38080;33701
06/04/2020;135032;13055;40437;35723
07/04/2020;140510;13798;43208;38620
08/04/2020;146690;14555;48021;43091
09/04/2020;152446;15238;52165;47116
10/04/2020;157022;15843;55668;50860
11/04/2020;161852;16353;59109;54118
12/04/2020;166019;16972;62391;57026
13/04/2020;169496;17489;64727;59165
14/04/2020;172541;18056;67504;61924
15/04/2020;177633;18579;70853;65682
16/04/2020;182816;19130;74797;69461
17/04/2020;188068;19478;72963;72952
18/04/2020;191726;20043;74662;76169
19/04/2020;195944;20453;77357;78893
20/04/2020;200210;20852;80587;80587
21/04/2020;204178;21282;82154;82514
22/04/2020;208389;21717;85915;85915
23/04/2020;213024;22157;89250;89250
24/04/2020;219764;22524;92355;92355
25/04/2020;223759;22902;95708;95708
26/04/2020;207634;23190;98732;98732
27/04/2020;209465;23521;100875;100875
28/04/2020;210773;23822;102548;102548
29/04/2020;212917;24275;108947;108947
30/04/2020;213435;24543;112050;112050
01/05/2020;215435;24824;114678;114678
02/05/2020;216582;25100;117248;117248
03/05/2020;217466;25264;118902;118902
04/05/2020;218011;25428;121343;121343
05/05/2020;219329;25613;123486;123486
06/05/2020;220325;25857;126002;126002
07/05/2020;221447;26070;128511;128511
