countries,cases,deaths,popData2018,death_rate,deaths_per_pop
Afghanistan,3224,95,37172386.0,0.02946650124069479,2.5556605379057453e-06
Albania,820,31,2866376.0,0.03780487804878049,1.0815050084148067e-05
Algeria,4838,470,42228429.0,0.09714758164530798,1.1129942816485075e-05
Andorra,751,46,77006.0,0.06125166444740346,0.0005973560501779082
Angola,36,2,30809762.0,0.05555555555555555,6.491449041378508e-08
Anguilla,3,0,,0.0,
Antigua_and_Barbuda,25,3,96286.0,0.12,3.115717757514073e-05
Argentina,5007,264,44494502.0,0.052726183343319355,5.933317334352905e-06
Armenia,2619,40,2951776.0,0.015273004963726614,1.3551163773944906e-05
Aruba,100,2,105845.0,0.02,1.8895554820728424e-05
Australia,6849,96,24992369.0,0.01401664476565922,3.841172479487639e-06
Austria,15586,606,8847037.0,0.03888104709354549,6.849750939212755e-05
Azerbaijan,2060,26,9942334.0,0.01262135922330097,2.615080121025908e-06
Bahamas,89,11,385640.0,0.12359550561797752,2.8524012031946894e-05
Bahrain,3720,8,1569439.0,0.002150537634408602,5.097362815630298e-06
Bangladesh,10929,183,161356039.0,0.01674444139445512,1.1341379048106158e-06
Barbados,82,7,286641.0,0.08536585365853659,2.442079116386002e-05
Belarus,18350,107,9485386.0,0.005831062670299728,1.1280510882741092e-05
Belgium,50509,8016,11422068.0,0.15870438931675543,0.0007017993589251963
Belize,18,2,383071.0,0.1111111111111111,5.220964259889159e-06
Benin,96,2,11485048.0,0.020833333333333332,1.7413945505495492e-07
Bermuda,115,7,63968.0,0.06086956521739131,0.00010942971485742872
Bhutan,7,0,754394.0,0.0,0.0
Bolivia,1802,86,11353142.0,0.04772475027746948,7.574995538679953e-06
"Bonaire, Saint Eustatius and Saba",6,0,,0.0,
Bosnia_and_Herzegovina,1946,79,3323929.0,0.040596094552929084,2.376705398942035e-05
Botswana,23,1,2254126.0,0.043478260869565216,4.436309239146348e-07
Brazil,114715,7921,209469333.0,0.0690493832541516,3.781460458462433e-05
British_Virgin_Islands,7,1,29802.0,0.14285714285714285,3.355479498020267e-05
Brunei_Darussalam,138,1,428962.0,0.007246376811594203,2.331208825024128e-06
Bulgaria,1689,78,7024216.0,0.046181172291296625,1.110444211852255e-05
Burkina_Faso,688,48,19751535.0,0.06976744186046512,2.430190868709698e-06
Burundi,19,1,11175378.0,0.05263157894736842,8.948243182467743e-08
Cambodia,122,0,16249798.0,0.0,0.0
Cameroon,2104,64,25216237.0,0.030418250950570342,2.538047211405889e-06
Canada,62046,4043,37058856.0,0.06516133191503079,0.00010909672980730976
Cape_Verde,186,2,543767.0,0.010752688172043012,3.6780459277594997e-06
Cases_on_an_international_conveyance_Japan,696,7,3000.0,0.010057471264367816,0.0023333333333333335
Cayman_Islands,75,1,64174.0,0.013333333333333334,1.5582634711877086e-05
Central_African_Republic,94,0,4666377.0,0.0,0.0
Chad,170,17,15477751.0,0.1,1.098350787527206e-06
Chile,22016,275,18729160.0,0.012490915697674418,1.4682986316524606e-05
China,83968,4637,1392730000.0,0.05522341844512195,3.3294321225219532e-06
Colombia,8613,378,49648685.0,0.0438871473354232,7.613494697795118e-06
Comoros,4,1,832322.0,0.25,1.2014580895374627e-06
Congo,236,10,5244363.0,0.0423728813559322,1.9068092731185846e-06
Costa_Rica,755,6,4999441.0,0.007947019867549669,1.200134175000765e-06
Cote_dIvoire,1464,18,25069229.0,0.012295081967213115,7.180117106912223e-07
Croatia,2112,83,4089400.0,0.039299242424242424,2.02963759964787e-05
Cuba,1685,69,11338138.0,0.04094955489614243,6.085655334235656e-06
Curaçao,16,1,159849.0,0.0625,6.25590400940888e-06
Cyprus,878,20,1189265.0,0.022779043280182234,1.6817109727436693e-05
Czechia,7896,257,10625695.0,0.03254812563323202,2.4186653202449346e-05
Democratic_Republic_of_the_Congo,705,34,84068091.0,0.04822695035460993,4.0443406761787894e-07
Denmark,9821,503,5797446.0,0.051216780368597906,8.676234328012715e-05
Djibouti,1120,2,958920.0,0.0017857142857142857,2.0856797230217328e-06
Dominica,16,0,71625.0,0.0,0.0
Dominican_Republic,8480,354,10627165.0,0.04174528301886792,3.331085948133862e-05
Ecuador,31881,1569,17084357.0,0.04921426555001412,9.183839930294128e-05
Egypt,7201,452,98423595.0,0.06276905985279822,4.59239474030592e-06
El_Salvador,587,14,6420744.0,0.02385008517887564,2.1804326725999355e-06
Equatorial_Guinea,439,4,1308974.0,0.009111617312072893,3.055828458013681e-06
Eritrea,39,0,,0.0,
Estonia,1711,55,1320884.0,0.032144944476914086,4.163878130100751e-05
Eswatini,116,1,1367000.0,0.008620689655172414,7.31528895391368e-07
Ethiopia,145,4,109224559.0,0.027586206896551724,3.662180041395269e-08
Falkland_Islands_(Malvinas),13,0,,0.0,
Faroe_Islands,187,0,48497.0,0.0,0.0
Fiji,18,0,883483.0,0.0,0.0
Finland,5412,246,5518050.0,0.045454545454545456,4.4580966102155656e-05
France,132967,25531,66987244.0,0.19201004760579693,0.00038113226452486985
French_Polynesia,60,0,277679.0,0.0,0.0
Gabon,397,6,2119275.0,0.015113350125944584,2.831156881480695e-06
Gambia,17,1,2280102.0,0.058823529411764705,4.3857687068385536e-07
Georgia,604,9,3731000.0,0.014900662251655629,2.4122219244170463e-06
Germany,164897,6996,82927922.0,0.04242648441148111,8.436241776322335e-05
Ghana,2719,18,29767108.0,0.0066200809121000365,6.046942820243068e-07
Gibraltar,144,0,33718.0,0.0,0.0
Greece,2642,146,10727668.0,0.05526116578349735,1.3609668009860111e-05
Greenland,11,0,56025.0,0.0,0.0
Grenada,21,0,111454.0,0.0,0.0
Guam,149,5,165768.0,0.03355704697986577,3.01626369383717e-05
Guatemala,763,19,17247807.0,0.02490170380078637,1.1015893208916358e-06
Guernsey,252,13,63026.0,0.051587301587301584,0.00020626408149017865
Guinea,1811,10,12414318.0,0.005521811154058531,8.055214954216574e-07
Guinea_Bissau,475,2,1874309.0,0.004210526315789474,1.0670599138135708e-06
Guyana,93,10,779004.0,0.10752688172043011,1.2836904560181975e-05
Haiti,101,12,11123176.0,0.1188118811881188,1.0788285647912071e-06
Holy_See,11,0,1000.0,0.0,0.0
Honduras,1270,93,9587522.0,0.07322834645669292,9.700108119699751e-06
Hungary,3111,373,9768785.0,0.11989713918354226,3.818284464239924e-05
Iceland,1799,10,353574.0,0.005558643690939411,2.828262259102762e-05
India,49391,1694,1352617328.0,0.034297746553015734,1.2523867356518148e-06
Indonesia,12071,872,267663435.0,0.07223925109767211,3.2578226458163774e-06
Iran,99970,6340,81800269.0,0.06341902570771231,7.750585759076171e-05
Iraq,2431,102,38433600.0,0.04195804195804196,2.653927813163482e-06
Ireland,21983,1339,4853506.0,0.06091070372560615,0.0002758830420730911
Isle_of_Man,326,23,84077.0,0.0705521472392638,0.00027355876161138005
Israel,16289,238,8883800.0,0.01461108723678556,2.6790337468200546e-05
Italy,213013,29315,60431283.0,0.13762070859525005,0.0004850964358972819
Jamaica,473,9,2934855.0,0.019027484143763214,3.0665910240880724e-06
Japan,15354,543,126529100.0,0.035365377100429855,4.291502903284699e-06
Jersey,293,24,106800.0,0.08191126279863481,0.00022471910112359551
Jordan,471,9,9956011.0,0.01910828025477707,9.039765022356845e-07
Kazakhstan,4277,29,18276499.0,0.006780453588964227,1.5867371535434658e-06
Kenya,535,24,51393010.0,0.044859813084112146,4.6698957698722063e-07
Kosovo,856,26,1845300.0,0.030373831775700934,1.4089849888906954e-05
Kuwait,5804,40,4137309.0,0.006891798759476223,9.668120026809697e-06
Kyrgyzstan,871,12,6315800.0,0.013777267508610792,1.899996833338611e-06
Laos,19,0,7061507.0,0.0,0.0
Latvia,896,17,1926542.0,0.018973214285714284,8.824100382965956e-06
Lebanon,741,25,6848925.0,0.033738191632928474,3.650207879338728e-06
Liberia,170,20,4818977.0,0.11764705882352941,4.150258446969139e-06
Libya,63,3,6678567.0,0.047619047619047616,4.491981588265866e-07
Liechtenstein,83,1,37910.0,0.012048192771084338,2.6378264310208388e-05
Lithuania,1423,46,2789533.0,0.03232607167955025,1.6490215387306765e-05
Luxembourg,3840,96,607728.0,0.025,0.00015796540557617883
Madagascar,168,0,26262368.0,0.0,0.0
Malawi,41,3,18143315.0,0.07317073170731707,1.653501578956216e-07
Malaysia,6383,106,31528585.0,0.01660661131129563,3.362028457667859e-06
Maldives,573,1,515696.0,0.0017452006980802793,1.939126927492166e-06
Mali,612,32,19077690.0,0.05228758169934641,1.6773519225860154e-06
Malta,482,5,483530.0,0.01037344398340249,1.0340620023576613e-05
Mauritania,8,1,4403319.0,0.125,2.2710142054209564e-07
Mauritius,332,10,1265303.0,0.030120481927710843,7.90324530962149e-06
Mexico,26025,2507,126190788.0,0.09633045148895293,1.986674336323187e-05
Moldova,4363,136,3545883.0,0.031171212468484987,3.8354339384576424e-05
Monaco,95,4,38682.0,0.042105263157894736,0.00010340726953104803
Mongolia,41,0,3170208.0,0.0,0.0
Montenegro,324,8,622345.0,0.024691358024691357,1.2854606367850629e-05
Montserrat,11,1,5900.0,0.09090909090909091,0.00016949152542372882
Morocco,5219,191,36029138.0,0.03659704924315003,5.30126477075305e-06
Mozambique,81,0,29495962.0,0.0,0.0
Myanmar,161,6,53708395.0,0.037267080745341616,1.1171437910218692e-07
Namibia,16,0,2448255.0,0.0,0.0
Nepal,82,0,28087871.0,0.0,0.0
Netherlands,41087,5168,17231017.0,0.12578187747949474,0.0002999242586784053
New_Caledonia,18,0,284060.0,0.0,0.0
New_Zealand,1138,21,4885500.0,0.01845342706502636,4.298434141848327e-06
Nicaragua,16,5,6465513.0,0.3125,7.733338406403328e-07
Niger,763,38,22442948.0,0.04980340760157274,1.6931821969199413e-06
Nigeria,2950,98,195874740.0,0.033220338983050844,5.003197451595852e-07
North_Macedonia,1526,86,2082958.0,0.0563564875491481,4.128743834489222e-05
Northern_Mariana_Islands,14,2,56882.0,0.14285714285714285,3.5160507717731446e-05
Norway,7903,209,5314336.0,0.026445653549285082,3.9327584857261564e-05
Oman,2735,12,4829483.0,0.0043875685557586835,2.484738014400299e-06
Pakistan,22550,526,212215030.0,0.023325942350332595,2.4786180319084845e-06
Palestine,538,4,4569087.0,0.007434944237918215,8.754484210959432e-07
Panama,7523,210,4176873.0,0.02791439585271833,5.027684586052772e-05
Papua_New_Guinea,8,0,8606316.0,0.0,0.0
