dateRep,day,month,year,cases,deaths,countries,geoId,countryterritoryCode,popData2019,continentExp,%ch_c,cases_yest
2020-06-29,29,6,2020,172,1,Bosnia_and_Herzegovina,BA,BIH,3300998.0,Europe,171.0,1
2020-03-17,17,3,2020,156,0,Pakistan,PK,PAK,216565317.0,Asia,155.0,1
2020-04-22,22,4,2020,146,0,Cameroon,CM,CMR,25876387.0,Africa,145.0,1
2020-05-31,31,5,2020,133,0,Democratic_Republic_of_the_Congo,CD,COD,86790568.0,Africa,132.0,1
2020-04-25,25,4,2020,128,0,Equatorial_Guinea,GQ,GNQ,1355982.0,Africa,127.0,1
2020-04-08,8,4,2020,249,7,Egypt,EG,EGY,100388076.0,Africa,82.0,3
2020-04-27,27,4,2020,153,0,Palestine,PS,PSE,4981422.0,Asia,75.5,2
2020-05-10,10,5,2020,146,0,Maldives,MV,MDV,530957.0,Asia,72.0,2
2020-05-16,16,5,2020,965,256,Ecuador,EC,ECU,17373657.0,America,59.3125,16
2020-04-26,26,4,2020,115,4,Cameroon,CM,CMR,25876387.0,Africa,56.5,2
2020-05-15,15,5,2020,208,0,Zambia,ZM,ZMB,17861034.0,Africa,40.6,5
2020-03-20,20,3,2020,244,0,Israel,IL,ISR,8519373.0,Asia,39.666666666666664,6
2020-03-12,12,3,2020,238,0,Qatar,QA,QAT,2832071.0,Asia,38.666666666666664,6
2020-07-01,1,7,2020,19246,0,Kazakhstan,KZ,KAZ,18551428.0,Asia,38.11788617886179,492
2020-05-11,11,5,2020,305,6,Cameroon,CM,CMR,25876387.0,Africa,32.888888888888886,9
2020-05-26,26,5,2020,192,19,Sudan,SD,SDN,42813237.0,Africa,31.0,6
2020-05-01,1,5,2020,128,0,Guinea_Bissau,GW,GNB,1920917.0,Africa,31.0,4
2020-04-30,30,4,2020,174,6,United_Republic_of_Tanzania,TZ,TZA,58005461.0,Africa,28.0,6
2020-06-06,6,6,2020,810,0,Cameroon,CM,CMR,25876387.0,Africa,20.89189189189189,37
2020-05-12,12,5,2020,245,5,Argentina,AR,ARG,44780675.0,America,17.846153846153847,13
2020-04-04,4,4,2020,183,3,Ukraine,UA,UKR,43993643.0,Europe,17.3,10
2020-05-20,20,5,2020,231,1,Azerbaijan,AZ,AZE,10047719.0,Europe,16.76923076923077,13
2020-05-29,29,5,2020,3325,66,France,FR,FRA,67012883.0,Europe,16.408376963350786,191
2020-03-18,18,3,2020,167,0,Israel,IL,ISR,8519373.0,Asia,15.7,10
2020-04-22,22,4,2020,156,5,Greece,EL,GRC,10724599.0,Europe,14.6,10
2020-05-30,30,5,2020,103,0,Malaysia,MY,MYS,31949789.0,Asia,9.3,10
2020-05-16,16,5,2020,1063,32,Afghanistan,AF,AFG,38041757.0,Asia,8.4070796460177,113
2020-03-30,30,3,2020,121,3,Morocco,MA,MAR,36471766.0,Africa,8.307692307692308,13
2020-03-22,22,3,2020,151,0,Pakistan,PK,PAK,216565317.0,Asia,7.882352941176471,17
2020-03-31,31,3,2020,224,0,Saudi_Arabia,SA,SAU,34268529.0,Asia,7.615384615384615,26
2020-01-19,19,1,2020,136,1,China,CN,CHN,1433783692.0,Asia,7.0,17
2020-06-13,13,6,2020,184,2,Puerto_Rico,PR,PRI,2933404.0,America,7.0,23
2020-01-21,21,1,2020,151,3,China,CN,CHN,1433783692.0,Asia,6.947368421052632,19
2020-05-07,7,5,2020,158,2,Democratic_Republic_of_the_Congo,CD,COD,86790568.0,Africa,6.523809523809524,21
2020-02-13,13,2,2020,15141,254,China,CN,CHN,1433783692.0,Asia,6.465976331360947,2028
2020-03-21,21,3,2020,227,4,Ecuador,EC,ECU,17373657.0,America,6.32258064516129,31
2020-06-18,18,6,2020,36179,232,Chile,CL,CHL,18952035.0,America,6.21703570716138,5013
2020-04-17,17,4,2020,352,1290,China,CN,CHN,1433783692.0,Asia,6.04,50
2020-06-20,20,6,2020,539,0,Morocco,MA,MAR,36471766.0,Africa,6.0,77
2020-06-25,25,6,2020,643,2,Morocco,MA,MAR,36471766.0,Africa,5.989130434782608,92
2020-03-26,26,3,2020,142,1,Peru,PE,PER,32510462.0,America,5.761904761904762,21
2020-06-16,16,6,2020,148,7,Belgium,BE,BEL,11455519.0,Europe,5.7272727272727275,22
2020-06-23,23,6,2020,112,4,Belgium,BE,BEL,11455519.0,Europe,5.588235294117647,17
2020-04-19,19,4,2020,2569,642,France,FR,FRA,67012883.0,Europe,5.3432098765432094,405
2020-04-04,4,4,2020,238,1,Cameroon,CM,CMR,25876387.0,Africa,5.2631578947368425,38
2020-04-24,24,4,2020,210,1,Bahrain,BH,BHR,1641164.0,Asia,5.176470588235294,34
2020-05-01,1,5,2020,191,1,Maldives,MV,MDV,530957.0,Asia,4.96875,32
2020-06-19,19,6,2020,173,0,Guinea,GN,GIN,12771246.0,Africa,4.9655172413793105,29
2020-05-27,27,5,2020,195,0,Bahrain,BH,BHR,1641164.0,Asia,4.909090909090909,33
